Ensembl Transcript ID,control 1,control 2,hht 1.1,hht 1.2,hht 2.1,hht 2.2,hht 3.1,hht 3.2
ENSG00000127663,963.2732848,908.9309251,685.4200142,721.0733352,620.399735,581.6243135,583.9176242,574.1414754
ENSG00000127666,196.4244185,237.4225399,174.2745515,144.6002678,159.6766531,113.5399212,144.0255708,148.9179452
ENSG00000127720,210.3130138,185.4545161,239.8520889,217.8644034,199.3415542,192.8036398,185.3352306,194.669844
ENSG00000127774,221.2254815,250.669291,185.0544206,216.9004016,153.5743606,133.8914166,180.8693214,201.8466125
ENSG00000127804,991.0504753,1026.113724,733.9294254,700.8292977,632.6043199,605.1892028,819.494333,727.5449009
ENSG00000127824,355.1512214,353.5863576,114.9852711,108.9322017,223.7507241,243.1468125,302.5653464,259.26076
ENSG00000127831,19.84085036,18.34165544,15.27148131,26.99204998,14.23868244,31.06280864,14.51420481,41.26641855
ENSG00000127837,1560.48288,1525.414344,1491.215234,1335.142472,1223.509641,1064.704544,1578.698892,1391.395982
ENSG00000127838,772.8011213,779.5203562,711.4713647,640.0971853,506.4902754,531.2811409,679.9346714,613.6137019
ENSG00000127863,7.936340142,30.56942573,34.13625235,46.27208568,9.153438712,24.63602065,77.03693321,100.4747582
ENSG00000127870,2347.172597,2452.686925,2357.198057,2276.008215,1980.193908,1853.057205,2560.082433,2240.04885
ENSG00000127884,3043.586445,2629.989594,2631.186398,2418.680479,2295.479019,1893.760196,3255.647786,2657.198516
ENSG00000127914,3485.045365,3557.262174,3909.499216,3521.498521,3238.283207,3112.707652,4281.690418,3661.946098
ENSG00000127920,16315.13125,14233.12462,18152.40135,15285.2123,14843.82645,13694.41409,22620.94643,20533.63161
ENSG00000127922,2916.605002,3099.739769,2995.905305,2724.269045,2692.12803,2169.040948,3217.687558,2635.668211
ENSG00000127946,2123.963031,2114.38528,1977.207669,1794.971324,1721.863527,1507.081785,1077.400588,932.0828015
ENSG00000127947,1814.445765,1910.589108,2188.31344,1874.01947,1561.169825,1345.340954,1117.59377,948.2305305
ENSG00000127948,827.3634598,832.5073608,700.6914955,667.0892353,576.6666389,639.4654055,607.3636473,544.5373056
ENSG00000127952,571.4164902,539.0408737,392.566902,340.2926301,314.2680625,230.2932365,314.8465966,333.7197326
ENSG00000127955,697.40589,692.9069833,1272.922884,1119.206072,688.5420009,618.0427788,966.8693356,784.0619524
ENSG00000127957,102.1803793,117.1827986,101.5104346,96.40017851,80.34685092,96.40181992,99.36647907,83.42993315
ENSG00000127980,544.6313423,460.5793477,442.8729581,427.0527908,394.6149134,328.8373191,494.5994408,434.1944908
ENSG00000127989,366.0636891,308.7511999,255.1235702,251.6044659,241.0405528,229.2221051,323.7784149,288.8649298
ENSG00000127990,790.6578867,736.7231601,909.1022993,876.2776226,1067.901183,1018.645897,1282.83241,1134.82651
ENSG00000127993,284.7162026,300.599353,373.7021309,361.5006694,295.961185,309.5569551,393.0000071,342.6906932
ENSG00000127995,630.9390413,486.0538691,757.2858086,671.9092442,642.7748074,607.3314655,605.1306927,577.7298597
ENSG00000128000,278.7639475,248.6313293,317.1078178,318.1205891,270.5349664,251.7158631,296.9829599,290.6591219
ENSG00000128011,27.7771905,25.47452144,8.983224302,20.24403749,6.102292475,13.92470732,11.16477293,39.47222644
ENSG00000128016,149.7984202,193.606363,86.2389533,68.44412674,32.54555987,77.12145594,27.91193232,60.10543571
ENSG00000128039,509.9098541,467.7122137,512.0437852,506.1009372,435.2968632,404.8876437,654.2556936,582.2153399
ENSG00000128045,23.80902043,17.32267458,6.288257011,8.676016066,11.1875362,21.42262665,36.84375067,47.54609093
ENSG00000128050,2779.703135,2654.445134,2444.335332,2307.820273,1918.153935,1839.132498,2658.332434,2270.550116
ENSG00000128052,15263.56618,15368.2693,14931.91543,13523.98104,15823.24439,13830.44776,11404.81555,10365.04782
ENSG00000128059,708.3183577,650.1097872,574.9263553,486.8209015,508.5243729,489.5070189,588.3835334,508.6534634
ENSG00000128159,853.1565653,967.012834,764.4723881,780.8414459,621.4167837,633.0386175,664.3039893,708.7058837
ENSG00000128165,48.61008337,60.11987061,22.45806075,16.38803035,22.37507241,18.20923265,17.86363669,21.53030533
ENSG00000128185,729.1512506,672.5273661,813.8801217,587.0770871,586.8371263,479.8668369,779.3011504,714.9855561
ENSG00000128191,1117.039875,1100.499326,1012.409379,1036.301919,831.9458741,898.6791879,900.9971754,848.6528684
ENSG00000128203,159.7188454,132.4675115,133.8500421,133.0322463,58.98882726,61.05448595,43.54261442,49.34028305
ENSG00000128228,357.1353064,382.1178217,335.9725889,288.2365337,290.8759413,251.7158631,307.0312555,254.7752797
ENSG00000128245,3353.10371,3340.219252,3157.603342,2828.381237,2627.03691,2267.585031,3653.113702,3130.865233
